country,region,year,gini,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,gdp,population
Argentina,ARG,1999,46.81,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18981,36467220
Argentina,ARG,1999,53.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18981,36467220
Argentina,ARG,1999,49.79,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18981,36467220
Argentina,ARG,2000,50.39,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18625,36870796
Argentina,ARG,2000,48.24,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18625,36870796
Argentina,ARG,2000,48.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18625,36870796
Argentina,ARG,2000,54.4,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18625,36870796
Argentina,ARG,2000,51.06,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18625,36870796
Argentina,ARG,2001,52.21,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17611,37275644
Argentina,ARG,2001,50.13,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17611,37275644
Argentina,ARG,2001,50.5,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17611,37275644
Argentina,ARG,2001,56,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17611,37275644
Argentina,ARG,2001,53.34,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,17611,37275644
Argentina,ARG,2002,53.27,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15523,37681744
Argentina,ARG,2002,51.24,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15523,37681744
Argentina,ARG,2002,49.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15523,37681744
Argentina,ARG,2002,57.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15523,37681744
Argentina,ARG,2002,53.79,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,15523,37681744
Argentina,ARG,2003,52.79,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16715,38087868
Argentina,ARG,2003,50.58,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16715,38087868
Argentina,ARG,2003,50.72,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16715,38087868
Argentina,ARG,2003,48.35,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16715,38087868
Argentina,ARG,2003,46.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16715,38087868
Argentina,ARG,2003,50.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,16715,38087868
Argentina,ARG,2004,48.25,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18033,38491968
Argentina,ARG,2004,45.77,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18033,38491968
Argentina,ARG,2004,43.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18033,38491968
Argentina,ARG,2004,57.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18033,38491968
Argentina,ARG,2004,48.38,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,18033,38491968
Argentina,ARG,2005,47.59,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19426,38892924
Argentina,ARG,2005,45.22,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19426,38892924
Argentina,ARG,2005,42.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19426,38892924
Argentina,ARG,2005,55.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19426,38892924
Argentina,ARG,2005,47.71,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19426,38892924
Argentina,ARG,2006,46.27,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,20778,39289876
Argentina,ARG,2006,43.82,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,20778,39289876
Argentina,ARG,2006,44.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,20778,39289876
Argentina,ARG,2006,54.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,20778,39289876
Argentina,ARG,2006,46.35,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,20778,39289876
Argentina,ARG,2007,46.05,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22424,39684304
Argentina,ARG,2007,43.67,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22424,39684304
Argentina,ARG,2007,43.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22424,39684304
Argentina,ARG,2007,46.17,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22424,39684304
Argentina,ARG,2008,44.77,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23103,40080160
Argentina,ARG,2008,42.24,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23103,40080160
Argentina,ARG,2008,41.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23103,40080160
Argentina,ARG,2008,44.88,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23103,40080160
Argentina,ARG,2009,43.55,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2009,41.01,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2009,41.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2009,51,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2009,43.65,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2009,44.7,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2009,48.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,21520,40482784
Argentina,ARG,2010,43.51,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23521,40895752
Argentina,ARG,2010,40.84,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23521,40895752
Argentina,ARG,2010,41.2,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23521,40895752
Argentina,ARG,2010,50.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23521,40895752
Argentina,ARG,2010,43.58,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23521,40895752
Argentina,ARG,2011,42.58,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24648,41320496
Argentina,ARG,2011,39.87,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24648,41320496
Argentina,ARG,2011,40.6,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24648,41320496
Argentina,ARG,2011,49.2,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24648,41320496
Argentina,ARG,2011,42.65,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24648,41320496
Argentina,ARG,2012,41.27,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24119,41755188
Argentina,ARG,2012,38.45,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24119,41755188
Argentina,ARG,2012,38.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24119,41755188
Argentina,ARG,2012,47.5,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24119,41755188
Argentina,ARG,2012,41.33,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24119,41755188
Argentina,ARG,2013,40.86,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24424,42196036
Argentina,ARG,2013,38.05,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24424,42196036
Argentina,ARG,2013,38.9,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24424,42196036
Argentina,ARG,2013,47.2,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24424,42196036
Argentina,ARG,2013,40.95,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,24424,42196036
Argentina,ARG,2014,41.56,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23550,42637508
Argentina,ARG,2014,38.58,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23550,42637508
Argentina,ARG,2014,39.1,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23550,42637508
Argentina,ARG,2014,47,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23550,42637508
Argentina,ARG,2014,41.63,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23550,42637508
Argentina,ARG,2015,40.72,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23934,43075416
Argentina,ARG,2015,37.69,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23934,43075416
Argentina,ARG,2016,41.96,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23190,43508460
Argentina,ARG,2016,39.08,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23190,43508460
Argentina,ARG,2016,39.3,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23190,43508460
Argentina,ARG,2016,42.03,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23190,43508460
Argentina,ARG,2017,41.06,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23597,43937144
Argentina,ARG,2017,38.16,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23597,43937144
Argentina,ARG,2017,38.8,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23597,43937144
Argentina,ARG,2017,41.13,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,23597,43937144
Argentina,ARG,2018,41.28,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22747,44361148
Argentina,ARG,2018,38.47,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22747,44361148
Argentina,ARG,2018,39.6,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22747,44361148
Argentina,ARG,2018,41.34,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22747,44361148
Argentina,ARG,2019,42.84,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22066,44780676
Argentina,ARG,2019,40,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22066,44780676
Argentina,ARG,2019,40,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22066,44780676
Argentina,ARG,2019,42.91,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,22066,44780676
Argentina,ARG,2020,40,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19691,45195776
Argentina,ARG,2020,42.34,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,19691,45195776
